source,target,weight
1030069,277285,14
1030069,289501,14
1030069,289505,14
1030069,289506,14
1030069,289514,14
1030069,303196,13
1030069,325602,11
1030069,344678,11
1030069,364162,11
1030069,398166,13
1030069,399353,12
1030069,402901,11
1030069,402904,11
1030069,448351,15
1030069,527833,11
1030069,535481,11
1030069,540678,11
1030069,565434,11
1030069,59595,13
1030069,607099,11
1030069,611293,11
1030069,617641,13
1030069,642194,11
1030069,665000,11
1030069,665006,12
1030069,670770,11
1030069,691658,13
1030069,693112,11
1030069,729335,11
1030069,744753,14
1030069,744770,13
1030069,76377,12
1030069,784204,12
1030069,797055,11
1030069,801145,12
1030069,801308,11
1030069,801374,11
1030069,803629,11
1030069,804166,11
1030069,804496,11
1030069,805096,12
1030069,805107,15
1030069,805234,12
1030069,805237,15
1030069,805238,13
1030069,805578,14
1030069,805583,15
1030069,805740,12
1030069,806509,11
1030069,806518,14
1030069,806592,15
1030069,806628,13
1030069,806632,14
1030069,806898,11
1030069,807322,12
1030069,807492,11
1030069,811072,11
1030069,811717,12
1030069,812393,11
1030069,838897,11
1030069,860705,11
1030069,86554,12
1030069,886654,12
1030069,889311,11
1030069,895319,12
1030069,901523,11
1030069,934488,11
1030069,992643,11
1030117,224004,11
1030117,714941,15
1030117,959459,14
1030474,303196,11
1030476,1064615,13
1030476,1071809,11
1030476,116780,16
1030476,134486,11
1030476,288231,11
1030476,303196,13
1030476,472008,11
1030476,520854,11
1030476,673653,13
1030476,805267,11
1030476,805560,13
1030476,806594,13
1030476,806642,11
1030476,807518,11
1030476,836770,13
1030476,898983,11
1030875,1070293,19
1031596,297991,11
1031596,332284,12
1031596,339501,14
1031596,656843,14
103189,1071809,12
103189,134486,14
103189,137997,12
103189,140140,11
103189,236341,13
103189,277285,11
103189,289501,11
103189,289505,11
103189,289506,11
103189,289514,11
103189,303196,11
103189,339859,13
103189,398166,12
103189,441807,12
103189,521637,11
103189,521638,11
103189,535481,13
103189,565396,12
103189,566051,11
103189,659006,14
103189,687691,11
103189,714941,11
103189,714957,12
103189,729335,11
103189,747655,11
103189,753150,13
103189,758503,11
103189,802339,11
103189,802355,11
103189,803517,11
103189,803629,13
103189,804496,11
103189,805237,11
103189,805567,13
103189,805578,11
103189,805740,11
103189,806518,11
103189,806523,11
103189,807492,13
103189,823599,11
103189,910846,11
103189,946715,11
1032361,1033336,16
1032361,1034485,16
1032361,1039765,16
1032361,1069552,16
1032361,1093243,16
1032361,1100955,16
1032361,984543,16
1032361,986862,16
1032361,997094,16
1032718,1048224,15
1032833,1032834,11
1032949,861642,11
1033336,1034485,16
1033336,1039765,16
1033336,1069552,16
1033336,1093243,16
1033336,1100955,16
1033336,984543,16
1033336,986862,16
1033336,997094,16
1033459,1095736,21
1033459,246323,11
1033946,1062736,14
1034147,1068149,14
1034234,1102917,11
1034234,1103022,11
1034234,981967,11
103435,76704,11
103435,79453,11
103435,87989,11
1034393,866923,18
1034485,1039765,16
1034485,1069552,16
1034485,1093243,16
1034485,1100955,16
1034485,984543,16
1034485,986862,16
1034485,997094,16
1034868,737588,11
1034886,1040926,12
1034886,1042626,14
1034886,134377,11
1034886,370731,14
1034886,810734,14
1034886,861789,11
1034903,1035840,23
1034903,784753,14
1035162,134486,11
1035162,26217,14
1035162,36602,11
1035162,402361,11
1035162,55313,11
1035162,714957,14
1035162,729335,11
1035162,803249,11
1035162,803479,11
1035162,806911,12
1035366,890617,11
1035432,1035452,17
1035618,1035621,13
1035618,1035766,13
1035621,1035766,15
1035840,784753,15
1035937,148078,11
1035937,169536,11
1035937,169537,11
1035937,169538,11
1035937,204096,11
1035937,281455,11
1035937,288175,11
1035937,288753,11
1035937,6614,11
1035937,773887,11
1035937,797640,11
1035937,839748,12
1035937,863591,11
1035983,1042882,18
1035983,1044376,14
1035983,1055731,11
1035983,1063377,12
1035983,1063518,12
1035983,12518,12
1035983,125482,11
1035983,12951,12
1035983,134486,16
1035983,137705,11
1035983,138238,11
1035983,140342,12
1035983,14265,12
1035983,159874,11
1035983,165173,11
1035983,20768,12
1035983,22303,11
1035983,22904,12
1035983,231305,12
1035983,238275,12
1035983,25854,11
1035983,272101,12
1035983,289450,14
1035983,300127,11
1035983,300713,17
1035983,303196,19
1035983,320705,11
1035983,355758,12
1035983,355759,12
1035983,375451,11
1035983,382555,11
1035983,408249,12
1035983,438214,11
1035983,452649,12
1035983,544220,11
1035983,56680,11
1035983,593275,12
1035983,602625,14
1035983,66350,13
1035983,696058,12
1035983,717323,12
1035983,742283,12
1035983,745380,14
1035983,745909,13
1035983,745911,14
1035983,753775,15
1035983,785923,12
1035983,868167,12
1035983,883259,12
1035983,888058,12
1035983,956266,13
1035998,143272,11
1035998,240041,11
1035998,240058,11
1035998,240059,11
1035998,240060,11
1035998,240061,11
1035998,240062,11
1035998,240063,11
1035998,240064,11
1035998,271661,11
1035998,401633,12
1035998,419624,14
1035998,43717,14
1035998,440971,11
1035998,505633,13
1035998,54076,12
1035998,565431,11
1035998,714957,16
1035998,734541,11
1035998,747666,12
1036019,342357,11
1036019,453909,11
1036019,882983,11
1036019,882992,11
1036101,1042636,11
1036101,1086146,18
1036101,351986,14
1036101,374926,13
1036101,621733,13
1036101,633319,15
1036101,633325,12
1036101,636002,11
1036101,664355,13
1036101,7099,12
1036101,731076,11
1036101,817062,12
1036140,2281,12
1036140,351986,13
1036433,717826,11
1036433,771777,15
1036878,711462,12
1036904,1103896,18
1037888,117774,11
1037888,14213,12
1037888,199827,11
1037888,209354,13
1037888,239695,11
1037888,239702,12
1037888,652880,11
1037888,678110,13
1037888,714957,11
1037888,721297,14
1037888,747694,11
1037888,811695,12
1037930,1078738,12
1037943,121740,11
1037943,134486,11
1037943,253722,11
1038038,633321,15
1038197,714907,12
1038197,896475,14
1038326,109841,11
1038326,11934,11
1038326,150622,12
1038326,155714,12
1038326,355746,12
1038326,497831,12
1038326,564005,13
1038326,564009,13
1038326,564101,11
1038326,648304,11
1038326,66917,11
1038326,673484,13
1038326,752810,13
1038326,948236,12
1038719,74642,12
1038719,76433,11
1038719,844741,16
1038948,121082,13
1038948,127134,12
1038948,131593,12
1038948,137221,11
1038948,162089,12
1038948,224004,17
1038948,224089,12
1038948,25572,12
1038948,31005,12
1038948,367229,12
1038948,368268,11
1038948,427691,13
1038948,443874,12
1038948,490632,13
1038948,545958,13
1038948,555844,13
1038948,59326,12
1038948,595252,11
1038948,63835,11
1038948,66105,12
1038948,669440,11
1038948,858391,13
1038948,858471,13
1038948,858475,13
1038948,86664,12
1038948,9350,12
1038948,943885,11
1038948,960185,13
1038948,974778,12
1039765,1069552,16
1039765,1093243,16
1039765,1100955,16
1039765,984543,16
1039765,986862,16
1039765,997094,16
1039791,112705,11
1039791,207288,12
1039791,531063,12
1039872,1040170,29
1039872,1063412,13
1039872,1083650,13
1039872,109841,15
1039872,109996,11
1039872,136484,11
1039872,137228,12
1039872,137802,13
1039872,137803,12
1039872,137804,12
1039872,140043,18
1039872,140172,11
1039872,141947,12
1039872,150622,11
1039872,155714,15
1039872,166927,12
1039872,17954,12
1039872,191872,11
1039872,208884,11
1039872,209538,11
1039872,276789,12
