person_id,person_name,role,event_year,event_title,event_id,event_type,tipo
366270,Mario Rigo,Vicepresidente della Biennale,1985,Terza Mostra Internazionale di Architettura : Progetto Venezia,91,manifestazione,annali_architettura
365710,Micol Assaël,Artista,2013,Future Generation Art Prize @ Venice 2013 (Evento Collaterale),758,event,annali_arti_visive
381123,Simon Starling,Artista,2003,Zenomap (Extra 50),1209,event,annali_arti_visive
381123,Simon Starling,Artista,2005,NowHere Europe (evento nell'ambito),181,event,annali_arti_visive
381123,Simon Starling,Partecipante,2015,Tesla Revisited (Evento Collaterale),1109,event,annali_arti_visive
465747,Mario Roberto Cimnaghi,Consiglio Direttivo,1974,La Biennale per una cultura democratica e antifascista : Settore Arti Visive e Architettura - Ugo Mulas le verifiche e la storia delle Biennali,464,manifestazione,annali_arti_visive
465747,Mario Roberto Cimnaghi,Consiglio Direttivo,1974,La Biennale per una cultura democratica e antifascista : Settore Arti Visive e Architettura - Cinema Città Avanguardia 1919-1939,438,manifestazione,annali_architettura
465747,Mario Roberto Cimnaghi,Consiglio Direttivo,1975,La Biennale un laboratorio internazionale : Settore Arti Visive e Architettura - Proposte per il Mulino Stucky,426,manifestazione,annali_architettura
465747,Mario Roberto Cimnaghi,Consiglio Direttivo,1975,La Biennale un laboratorio internazionale : Settore Arti Visive e Architettura - Le macchine celibi,463,manifestazione,annali_arti_visive
465747,Mario Roberto Cimnaghi,Consiglio Direttivo,1976,"La Biennale di Venezia 1976 : Ambiente, partecipazione, strutture culturali",238,manifestazione,annali_arti_visive
465747,Mario Roberto Cimnaghi,Consiglio Direttivo,1978,38. Esposizione Internazionale d'Arte: dalla natura all'arte dall'arte alla natura,239,manifestazione,annali_arti_visive
407845,Giancarlo De Carlo,Partecipante,2008,Le visioni dell'architetto. Tracce dagli archivi italiani di architettura (evento collaterale),350,event,annali_architettura
407845,Giancarlo De Carlo,Partecipante,2012,Novecento. Architetture e città del Veneto (Evento Collaterale),705,event,annali_architettura
532089,Lydia  Ourahmane,Artista,2024,sync di Lydia Ourahmane e Daniel Blumberg (Programma performance),2448,event,annali_arti_visive
463639,Raffaele De Grada,Commissario,1948,Mostra retrospettiva di Arnaldo Badodi,4775,section,annali_arti_visive
463639,Raffaele De Grada,Commissario,1948,Mostra retrospettiva di Ciri Agostoni,4782,section,annali_arti_visive
463639,Raffaele De Grada,Commissario,1976,L'ambiente - Italia : L'ambiente come sociale,5776,section,annali_arti_visive
463639,Raffaele De Grada,Commissione di selezione,1976,"Attualità internazionali, '72-76",5852,section,annali_arti_visive
463639,Raffaele De Grada,Commissione per le Arti Visive,1974,La Biennale per una cultura democratica e antifascista : Settore Arti Visive e Architettura - Ugo Mulas le verifiche e la storia delle Biennali,464,manifestazione,annali_arti_visive
