Artist_URI,Wikidata_ID,Artist_Name,Gender,Birthplace,Deathplace,Birthdate,Deathdate,Nationality,Work_Location_English,Start_Date,End_Date,VB_name
https://data.rkd.nl/artists/433776,Q1421326,"Canciani, Alfonso",Male,Brazzano (Gorizia),Trieste,1863,1955,Italian,Gorizia,1918,1918,Alfonso Canciani
https://data.rkd.nl/artists/433806,,"Claus, Fritz",Male,Zweibrücken (place),Traunstein (Bavaria),1885,1956,German,Paris,1909,1909,Fritz Claus
https://data.rkd.nl/artists/433806,,"Claus, Fritz",Male,Zweibrücken (place),Traunstein (Bavaria),1885,1956,German,Munich,1910,1944,Fritz Claus
https://data.rkd.nl/artists/433806,,"Claus, Fritz",Male,Zweibrücken (place),Traunstein (Bavaria),1885,1956,German,Seeon,1944,1944,Fritz Claus
https://data.rkd.nl/artists/433806,,"Claus, Fritz",Male,Zweibrücken (place),Traunstein (Bavaria),1885,1956,German,Traunstein,1953,1953,Fritz Claus
https://data.rkd.nl/artists/433820,,"Dasio, Ludwig",Male,Munich,Munich,1871,1932,German,Vienna,1892,1892,Ludwig Dasio
https://data.rkd.nl/artists/433820,,"Dasio, Ludwig",Male,Munich,Munich,1871,1932,German,Italy,1892,1892,Ludwig Dasio
https://data.rkd.nl/artists/433820,,"Dasio, Ludwig",Male,Munich,Munich,1871,1932,German,Munich,1895,1895,Ludwig Dasio
https://data.rkd.nl/artists/43396,Q318554,"Kampf, Arthur",Male,Aachen,,1864,1950,German,Düsseldorf,nan,nan,Arthur Kampf
https://data.rkd.nl/artists/433977,Q3620242,"Stagnoli, Antonio",Male,Bagolino (Brescia),Bagolino (Brescia),1922,2015,Italian,Brescia,nan,nan,Antonio Stagnoli
https://data.rkd.nl/artists/433977,Q3620242,"Stagnoli, Antonio",Male,Bagolino (Brescia),Bagolino (Brescia),1922,2015,Italian,Brescia,nan,nan,Antonio Stagnoli
https://data.rkd.nl/artists/434013,Q9215,"Freud, Sigmund",Male,Príbor (Moravia-Silesia),London (England),1856,1939,English,Vienna,1873,1938,Sigmund Freud
https://data.rkd.nl/artists/434013,Q9215,"Freud, Sigmund",Male,Príbor (Moravia-Silesia),London (England),1856,1939,English,London,1938,1939,Sigmund Freud
https://data.rkd.nl/artists/434256,,"Budvytytè, Eglè",Female,Kaunas,,1981,nan,Lithuanian,Amsterdam,2006,2011,Eglè Budvytytè
https://data.rkd.nl/artists/434282,Q874926,"Grienauer, Edwin",Male,Vienna (city),Vienna (city),1893,1964,Austrian,Vienna,1912,1912,Edwin Grienauer
https://data.rkd.nl/artists/43436,Q6242451,"Kane, John",Male,West Calder,Pittsburgh (Pennsylvania),1860,1934,American,United States of America,1879,1879,John Kane
https://data.rkd.nl/artists/434387,,"Thomopoulos, Thomas",Male,Izmir (city),Athene,1873,1937,Greek,Athene,1900,1900,Thomas Thomopoulos
https://data.rkd.nl/artists/434389,Q12758926,"Tihec, Slavko",Male,Maribor,Maribor,1928,1993,Yugoslav,Paris,1955,1955,Slavko Tihec
https://data.rkd.nl/artists/434395,Q1447054,"Hagenauer, Franz",Male,Vienna (city),Salzburg (city),1906,1986,Austrian,Vienna,1926,1926,Franz Hagenauer
https://data.rkd.nl/artists/434395,Q1447054,"Hagenauer, Franz",Male,Vienna (city),Salzburg (city),1906,1986,Austrian,Fuschl am See,1945,1945,Franz Hagenauer
https://data.rkd.nl/artists/434395,Q1447054,"Hagenauer, Franz",Male,Vienna (city),Salzburg (city),1906,1986,Austrian,Salzburg,1947,1947,Franz Hagenauer
https://data.rkd.nl/artists/43444,Q62544,"Kanoldt, Alexander",Male,Karlsruhe (city),"Berlin (city, Germany)",1881,1939,German,Munich,1908,1925,Alexander Kanoldt
